Address Number;Business Family;Business Unit;Customer;CustomerKey;Customer Type;Division;Line of Business;Phone;Region Code;Regional Sales Mgr;Search Type;City;Country;Customer Address 1;Customer Address 2;Customer Address 3;Customer Address 4;State;Zip Code
10000000;R3;1;City Supermarket;10000000;G2;2;Não informado;816-455-8733;4;S16;C;Akron;US;PO Box 6258;Não informado;Não informado;Não informado;OH;44312
10000453;R3;1;A Supermarket;10000453;G1;1;Não informado;816-455-8733;5;S19;C;                         ;UK;Não informado;Não informado;Não informado;Não informado;Não informado;0
10000455;R3;1;Caribian Supermarket;10000455;G2;2;Não informado;816-455-8733;1;S16;C;Huntington Beach;US;7392 Count Circle;Não informado;Não informado;Não informado;CA;92647
10000456;R1;1;A&B Shop;10000456;G3;1;Não informado;816-455-8733;0;S2;C;Edmonton;CA;8151 Wagner Road;Não informado;Não informado;Não informado;AB;T6E 4N6
10000457;O2;1;A&G Shop;10000457;G1;1;Não informado;816-455-8733;5;S1;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10000458;R3;1;A&R Market;10000458;G2;2;Não informado;816-455-8733;4;S9;C;Saginaw;US;PO Box 840;Não informado;Não informado;Não informado;MI;48606
10000460;R3;1;Meals Market;10000460;G2;2;Não informado;816-455-8733;2;S16;C;Goodlettsville;US;709 Rivergate Parkway;Não informado;Não informado;Não informado;TN;37072
10000461;R1;1;A1 Store;10000461;G3;1;Não informado;816-455-8733;0;S2;C;Boucherville;CA;1391 Gay Lussac;Não informado;Não informado;Não informado;QU;J4B 7K1
10000462;R3;1;a2i Shop;10000462;G2;2;Não informado;816-455-8733;4;S1;C;Hazelwood;US;6311 North Lindbergh Boulevard;Não informado;Não informado;Não informado;MO;63042
10000466;R3;1;A2Z Store;10000466;G2;2;Não informado;816-455-8733;1;S16;C;North Highlands;US;3213 Orange Grove Avenue;Não informado;Não informado;Não informado;CA;95660
10000469;R3;1;A-2-Z Supermarket;10000469;G3;1;Não informado;816-455-8733;0;S5;C;Montreal;CA;Attention:  Accounts Payable;7025 Ontario Street East;Não informado;Não informado;QU;H1N 2B3
10000471;R3;1;Aadast Shop;10000471;G1;1;M1;816-455-8733;5;S19;C;Jeddah;AU;Al Thalia Street;PO Box 11605;Não informado;Não informado;Não informado;11443
10000472;R3;1;Aaron Store;10000472;G2;2;Não informado;816-455-8733;1;S4;C;Van Nuys;US;8000 Haskell Avenue;Não informado;Não informado;Não informado;CA;91406
10000473;R3;1;Aaron Supermarket;10000473;G2;2;Não informado;816-455-8733;1;S16;C;Rancho Cordova;US;3290 Monier Circle #100;Não informado;Não informado;Não informado;CA;95742
10000474;R2;1;A-ARVIN Store;10000474;G2;2;Não informado;816-455-8733;4;S9;C;Des Moines;US;PO Box 3265;Não informado;Não informado;Não informado;IA;50316
10000475;R3;1;AA-Wizard Shop;10000475;G2;2;Não informado;816-455-8733;2;S16;C;Charlotte;US;5745 N Tryon Street;Não informado;Não informado;Não informado;NC;28213
10000478;R3;1;Abacus Market;10000478;G2;2;Não informado;816-455-8733;2;S16;C;Little Rock;US;8120 E Doyle Springs Road;Não informado;Não informado;Não informado;AR;72209
10000480;R2;1;Abbotsbury Shop;10000480;G2;2;Não informado;816-455-8733;1;S5;C;Phoenix;US;Attention: Accounts Payable;PO Box 21502;Não informado;Não informado;AZ;85036-1502
10000481;R2;1;Abbott Shop;10000481;G2;2;Não informado;816-455-8733;4;S5;C;Chicago;US;Box 5516;Não informado;Não informado;Não informado;IL;60680
10000601;R2;1;Radio Market;10000601;G2;2;Não informado;816-455-8733;2;S5;C;Creedmoor;US;1550 Aereli Avenue;Não informado;Não informado;Não informado;NC;27522
10000486;R3;1;Aberdeen Shop;10000486;G2;1;Não informado;816-455-8733;5;S14;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10002220;R3;1;ACRON Shop;10002220;G3;1;Não informado;816-455-8733;0;S5;C;Prince George;CA;1594 Nicholson Street;Não informado;Não informado;Não informado;BC;V2N 1V6
10000488;R3;1;ABI Supermarket;10000488;G1;1;M1;816-455-8733;5;S19;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
